name,acronym,code,description,country 
MARINE ENVIRONMENTAL SCIENCES DIVISION,MESD,,Marine Environmental Sciences Division (MESD) DFO science branch at BIO Dartmouth NS.,CANADA
MARINE FISH DIVISION,MFD,,Marine Fish Division (MFD) at DFO-BIO manage fish stocks sustainably in the Northwest Atlantic,CANADA
MARINE SCIENCES CENTER AT McGILL UnIVERSITY,MSC,17,"An interdisciplinary research and training center at McGill University supporting marine and aquatic science, including oceanography, ecology, and environmental research",CANADA
MAURICE LAMONTAGNE INSTITUTE,IML,41,IML Located in Mont-Joli Quebec DFO’s primary French-language marine science centre,CANADA
MCGILL UNIVERSITY,McG,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
MEMORIAL UNIVERSITY OF NEWFOUNDLAND,MUN,25,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
METEOROLOGY AND OCEANOGRAPHY CENTRE EAST COAST,METOCE,18,Meteorology And Oceanography Centre East Coast (Canadian Navy),CANADA
METEOROLOGY AND OCEANOGRAPHY CENTRE WEST COAST,METOCW,19,Meteorology And Oceanography Centre West Coast (Canadian Navy),CANADA
MÉTIS NATIONAL COUNCIL,MNC,,The national representative organization of the Métis Nation,CANADA
MOBIL OIL,,,An integrated energy company,UNITED STATES
NATIONAL INSTITUTE OF SCIENTIFIC RESEARCH,INRS,,A Quebec university‑level research institution dedicated exclusively to graduate studies and applied scientific research,CANADA
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,NOAA,,US federal agency responsible for weather forecasting climate monitoring ocean and coastal science fisheries management and the stewardship of marine and atmospheric resources,UNITED STATES
NATIONAL OCEANOGRAPHY CENTRE SOUTHAMPTON,,,The United Kingdom’s leading centre for oceanographic research technology development and marine observation,UNITED KINGDOM
NATIONAL RESEARCH COUNCIL CANADA,NRC,,Canada’s primary federal research organization supporting science innovation and industrial development,CANADA
NATIONAL WEATHER SERVICE,NWS,,U.S. federal agency within NOAA responsible for weather forecasting severe weather warnings climate data and hydrologic services,UNITED STATES
NATURAL RESOURCES CANADA,NRCan,,A federal department responsible for natural resources science energy minerals forests earth sciences and mapping,CANADA
NATURE CANADA,,,"A Canadian conservation organization advocating for the protection of wildlife, habitats, and biodiversity through research, education, and policy engagement",CANADA
NATURE CONSERVANCY OF CANADA,,,A national non‑profit organization dedicated to conserving Canada’s natural landscapes and biodiversity through land protection and stewardship,CANADA
NEWFOUNDLAND / ST. JOHN'S BIOLOGICAL STATION,,5,A former Canadian federal marine research facility in St. John’sNL conducting fisheries and oceanographic science in support of Atlantic fisheries management,CANADA
NEWFOUNDLAND HUNT OIL COMPANY INC.,,,A former oil and gas exploration company involved in offshore petroleum exploration activities off the coast of Newfoundland and Labrador,CANADA
NORTH ATLANTIC SALMON CONSERVATION ORGANIZATION,NASCO,,An intergovernmental organization dedicated to the conservation restoration and sustainable management of wild Atlantic salmon,CANADA
NORTH PACIFIC ANADROMOUS FISH COMMISSION,NPAFC,,An international body promoting cooperation in research and conservation of anadromous fish stocks in the North Pacific Ocean,CANADA
NORTH PACIFIC FISHERIES COMMISSION,NPFC,,An intergovernmental organization responsible for the conservation and management of fisheries resources in the high seas of the North Pacific,CANADA
NORTHCOR ENERGY LTD.,,,An integrated energy company,CANADA
NORTHWEST ATLANTIC FISHERIES CENTRE,NAFC,5,A former Canadian federal fisheries research centre supporting marine science and stock assessment in the Northwest Atlantic,CANADA
NORTHWEST ATLANTIC FISHERIES ORGANIZATION,NAFO,,An international fisheries management organization responsible for conserving and managing fishery resources in the Northwest Atlantic Ocean,CANADA
NOVA SCOTIA RESEARCH FOUNDATION,NSRR,,Nova Scotia Research Foundation provincial research organization,CANADA
NUNATSIAVUT GOVERNMENT,,,The Inuit regional government representing Nunatsiavut in northern Labrador,CANADA
OCEAN AND ECOSYSTEM SCIENCES DIVISION ,OESD,,Ocean and Ecosystem Sciences Division (OESD)  DFO-BIO Science sector for oceanography ,CANADA
OCEAN AND ENVIRONMENTAL SCIENCE BRANCH IML,DSOE,,DFO science branch at the Institut Maurice‑Lamontagne conducting oceanographic and environmental research,CANADA
OCEAN DATA SERVICES,ODS,,DFO ODS supports the storage processing and sharing of ocean science data,CANADA
OCEAN FRONTIER INSTITUTE,OFI,,A Canadian research institute advancing interdisciplinary ocean science focused on climate change sustainable oceans and societal impacts,CANADA
OCEAN NETWORKS CANADA,ONC,,A Canadian organization operating cabled ocean observatories that provide continuous real‑time ocean data for research and monitoring,CANADA
OCEAN SCIENCE AND PRODUCTIVITY DIVISION IOS,OSAP,,DFO science division at the Institute of Ocean Sciences focused on ocean productivity and ecosystem processes,CANADA
OCEAN SCIENCE AND PRODUCTIVITY DIVISION PBS,OSP_PBS,,DFO division at the Pacific Biological Station studying ocean productivity and ecosystem dynamics,CANADA
OCEAN SCIENCES DIVISION IOS,OSD_IOS,,DFO division conducting physical chemical and biological oceanographic research at the Institute of Ocean Sciences,CANADA
PACIFIC BIOLOGICAL STATION,PBS,32,A major DFO research facility conducting fisheries and marine ecosystem science on Canada’s Pacific coast,CANADA
PACIFIC GEOSCIENCE CENTRE,,,A Canadian federal geoscience facility specializing in earthquakes marine geology and natural hazard research on the Pacific margin,CANADA
PACIFIC OCEANOGRAPHIC GROUP,POG,2,POG was a canadian federal oceanographic research group based in BC and was one of the foundational organizations for physical oceanography on Canada’s Pacific coast,CANADA
PANCANADIAN ENERGY CORP.,,,PanCanadian Energy Corporation Merged with Ovintiv Inc.,CANADA
PELAGIC AND ECOSYSTEM SCIENCE BRANCH IML,DSPE,,IML’s core science divisions focusing on pelagic ecosystems oceanographic processes and ecosystem‑based research,CANADA
PETRO CANADA,,,"A major canadian energy company engaged in the exploration, production, refining, and marketing of oil and natural gas worldwide",CANADA
PLANSEARCH,,,A prominent Canadian engineering and environmental consulting firm,CANADA
POLAR CONTINENTAL SHELF PROGRAM,,11,A Canadian federal program providing logistics and support for scientific research in Canada’s Arctic regions,CANADA
POPULATION ECOLOGY DIVISION GFC,PED_GFC,,A DFO science division at the Gulf Fisheries Centre focused on fish population dynamics and stock assessment,CANADA
POPULATION ECOLOGY DIVISION SABS,PED_SABS,,DFO division at the St. Andrews Biological Station specializing in population ecology and fisheries science,CANADA
QUEENS UNIVERSITY,QU ,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
ROMBERG TIBURON CENTER FOR ENVIRONMENTAL STUDIES,,,A research and education center of San Francisco State University focused on coastal and estuarine ecosystems of San Francisco Bay,UNITED STATES
SABLE OFFSHORE ENERGY INC.,,," A Canadian offshore energy company formed to acquire and redevelop the Sable Offshore Energy Project, producing natural gas off the coast of Nova Scotia",CANADA
SAGUENAY-ST. LAWRENCE MARINE PARK,PSSL,,A federally protected marine park managed by Parks Canada,CANADA
SALMON AND FRESHWATER ECOSYSTEMS DIVISION PBS,SFE_PBS,,DFO science division at the Pacific Biological Station focused on salmon biology and freshwater ecosystem research,CANADA
SCHOOL OF EARTH AND OCEAN SCIENCES UVIC,SEOS,,An academic unit conducting research and education in earth sciences oceanography climate and environmental geoscience,CANADA
SCIENCE ADVICE INFORMATION AND SUPPORT BRANCH IML,DAISS,,DFO branch at the IML providing scientific advice data support and coordination for marine management,CANADA
SCRIPPS INSTITUTE OF OCEANOGRAPHY,,,A world‑leading research institution at the University of California San Diego specializing in ocean earth and climate sciences,UNITED STATES
SHELL CANADA LIMITED,,,"A former Canadian subsidiary of Royal Dutch Shell engaged in oil, gas, and energy development, whose assets were later acquired by Canadian Natural Resources Limited",CANADA
SPANISH OCEANOGRAPHIC INSTITUTE,IEO,,Spain’s national public research institute conducting marine science and fisheries research to support sustainable management of marine resources,SPAIN
ST. ANDREWS BIOLOGICAL STATION,SABS,3,DFO maritime research facility at St. Andrews Biological Station in New Brunswick,CANADA
ST. LAWRENCE GLOBAL OBSERVATORY,,,A regional research and observation initiative focused on monitoring understanding and communicating environmental and socio‑ecological changes in the St. Lawrence system,CANADA
STATION BIOLOGIQUE DU SAINT-LAURENT,STNBIO3PIS,, A Quebec‑based marine research station conducting biological and ecological studies in the St. Lawrence River and estuary,CANADA
STATION DE BIOLOGIE MARINE DE GRANDE-RIVIÈRE,,6,A marine research station in Gaspésie dedicated to coastal and marine biological research in the Gulf of St. Lawrence,CANADA
TEXACO,,,A major independent American oil company,UNITED STATES
TRANSPORT CANADA,TC,,A federal department responsible for regulating all transportation in Canada,CANADA
U.S. COAST GUARD,,,US armed service and federal maritime agency responsible for maritime safety security environmental protection search and rescue and the enforcement of maritime law,UNITED STATES
UNIVERSITÉ DU QUÉBEC À MONTRÉAL,UQAM,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITÉ DU QUÉBEC À RIMOUSKI,UQAR,29,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITÉ LAVAL,Ulaval,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITY OF ALBERTA,U of A,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITY OF BRITISH COLUMBIA,UBC,13,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITY OF CALGARY,U of C,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITY OF NEW BRUNSWICK,UNB,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITY OF TORONTO,U of T,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITY OF VICTORIA,UVic,26,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
UNIVERSITY OF WASHINGTON,UNIV.WASH.,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,UNITED STATES
WEST VANCOUVER LABORATORY,WVL,,DFO collaborates with universities through partnerships in research data sharing and innovation to advance ocean science fisheries management and marine conservation,CANADA
WESTERN AND CENTRAL PACIFIC FISHERIES COMMISSION,WCPFC,,World’s largest tuna fishery and close to the Pacific Island nations,MICRONESIA
WOODS HOLE OCEANOGRAPHIC INSTITUTE,WHOI,,Woods Hole Oceanographic Institution non-profit ocean research institution in US,UNITED STATES
WORLD OCEAN CIRCULATION EXPERIMENT,WOCE,,WOCE was a major international oceanographic program during 1990–1998,FRANCE
WORLD WILDLIFE FUND,WWF,,"An international conservation organization working to protect biodiversity, reduce human impacts on nature, and promote sustainable use of natural resources",CANADA
